endTime,artistName,trackName,msPlayed
2022-07-08 00:03,Burna Boy,Dirty Secrets,151856
2022-07-08 00:06,Burna Boy,Toni-Ann Singh (feat. Popcaan),175677
2022-07-08 00:09,Burna Boy,Solid (feat. Blxst & Kehlani),195134
2022-07-08 00:12,Burna Boy,For My Hand (feat. Ed Sheeran),159123
2022-07-08 00:15,Burna Boy,Rollercoaster (feat. J Balvin),187269
2022-07-08 00:18,Burna Boy,Vanilla,155466
2022-07-08 00:21,Burna Boy,Common Person,210346
2022-07-08 00:25,Burna Boy,Wild Dreams (feat. Khalid),186189
2022-07-08 00:30,Burna Boy,How Bad Could It Be,297651
2022-07-08 00:33,Burna Boy,"Love, Damini (feat. Ladysmith Black Mambazo)",142737
2022-07-08 00:36,Burna Boy,Ph City Vibration,226880
2022-07-08 00:40,Ajebutter22,Unconditionally,197227
2022-07-08 00:44,melvitto,Usual,1150
2022-07-08 00:44,NSG,Roadblock,2615
2022-07-08 00:44,L.A.X,Run Away,870
2022-07-08 00:44,Naira Marley,PXTA,1650
2022-07-08 00:44,Harmonize,Kainama (feat. Burna Boy & Diamond Platnumz),213840
2022-07-08 00:45,WSTRN,Sharna,440
2022-07-08 00:49,D'Prince,So Nice,2800
2022-07-08 00:49,Burna Boy,Different Size (feat. Victony),209967
2022-07-08 00:52,Victony,All Power,192284
2022-07-08 01:01,Justin Bieber,Honest (feat. Don Toliver),104716
